f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,grade
169,4.1771428571,0,21.875,350,21,291,38,16,80,32,1,8
132,4.016194332,0,15.4375,247,12,202,18,16,57,22,6,8
53,4.4090909091,0,9.4285714286,66,7,51,6,7,22,10,19,4
200,4.2671394799,4,21.15,423,20,334,32,20,109,50,2,9
154,4.2862190813,2,20.2142857143,283,19,222,23,14,80,31,3,7
240,4.6018867925,0,19.6296296296,530,44,401,43,27,173,77,4,10
208,4.310782241,5,15.7666666667,473,31,390,43,30,114,55,5,8
229,4.3661417323,3,16.9333333333,508,29,408,65,30,129,45,7,10
221,4.1929133858,2,12.7,508,43,442,53,40,109,52,8,10
223,4.1618625277,1,12.8857142857,451,29,371,56,35,109,45,9,9
217,3.9537572254,0,19.9615384615,519,39,450,40,26,108,32,10,9
210,4.7575757576,1,15,330,29,274,36,22,85,48,11,8
163,4.3341645885,0,16.04,401,34,338,25,25,97,45,12,8
122,3.9019607843,0,34,204,18,180,6,6,42,14,13,7
134,4.1889250814,3,11.8076923077,307,37,264,25,26,80,30,14,6
100,4.4802259887,1,13.6153846154,177,17,141,20,13,53,25,15,6
251,4.7228464419,1,15.2571428571,534,41,414,60,35,161,67,16,12
149,4.0806916427,1,19.2777777778,347,15,294,36,18,68,31,17,8
176,4.1176470588,1,24.9333333333,374,22,322,41,15,74,34,18,8
96,4.2625,1,14.5454545455,160,14,124,15,11,50,18,20,6
38,4.6071428571,0,28,56,2,38,2,2,20,5,22,3
189,4.4565217391,1,18.4,368,25,309,34,20,84,46,21,8
223,4.2094339623,2,17.6666666667,530,31,431,41,30,130,50,23,10
249,4.3246527778,0,14.7692307692,576,55,495,88,39,136,57,24,11
132,4.5236486486,1,18.5,296,19,238,26,16,77,41,25,8
167,4.2727272727,1,15.7826086957,363,21,286,49,23,98,41,26,9
69,4.1475409836,0,17.4285714286,122,10,98,13,7,34,14,27,4
195,4.5013774105,0,12.5172413793,363,30,301,44,29,92,46,28,9
171,4.2864721485,2,16.3913043478,377,27,316,49,23,88,36,29,9
123,4.2689393939,0,17.6,264,18,222,21,15,60,28,30,8
232,4.1446280992,3,14.2352941176,484,35,404,72,34,115,41,31,10
229,4.2625250501,2,13.8611111111,499,24,386,66,36,137,47,32,10
100,4.2275449102,0,13.9166666667,167,17,135,19,12,49,13,33,6
172,3.9324324324,1,14.2307692308,370,23,294,41,26,99,34,34,8
179,4.2802850356,0,12.7575757576,421,35,366,55,33,90,40,35,9
237,4.2010968921,2,22.7916666667,547,49,469,61,24,127,50,36,10
243,4.2118126273,1,15.8387096774,491,43,422,56,31,112,41,37,12
166,4.2272727273,4,20.7058823529,352,23,298,26,17,77,46,38,8
209,4.2668161435,1,20.2727272727,446,31,357,29,22,120,40,39,10
115,4.0871794872,0,12.1875,195,11,151,18,16,55,22,40,7
31,4.3170731707,0,13.6666666667,41,2,31,3,3,12,5,41,2
134,4.1122807018,1,20.3571428571,285,19,243,15,14,61,21,42,8
87,4.3076923077,1,17.875,143,6,112,10,8,37,15,43,6
116,4.0127388535,1,11.2142857143,314,17,227,33,28,104,29,44,8
154,4.027607362,1,16.3,326,20,255,34,20,91,23,45,8
110,4.1832797428,1,28.2727272727,311,20,266,17,11,65,29,46,8
171,4.0786163522,2,17.6666666667,318,17,248,24,18,87,27,47,8
229,3.9145907473,1,17.0303030303,562,34,474,57,33,122,32,48,11
152,4.5691823899,2,11.7777777778,318,24,264,33,27,78,41,49,6
62,4.6506024096,2,20.75,83,8,69,4,4,22,10,50,5
204,3.7781629116,6,44.3846153846,577,28,515,17,13,90,21,51,9
138,4.3858921162,2,16.0666666667,241,18,195,18,15,64,27,52,7
190,3.9813953488,0,15.9259259259,430,12,354,52,27,88,36,53,8
221,4.2505910165,3,13.21875,423,23,332,59,32,114,47,54,10
115,4.5916666667,0,20,240,15,201,19,12,54,31,55,8
247,5.0212314225,2,21.4090909091,471,32,372,33,22,131,101,56,10
154,4.7133105802,2,12.7391304348,293,29,240,34,23,82,54,57,9
112,4.1691542289,0,14.3571428571,201,9,166,24,14,44,23,58,7
199,4.3789237668,3,19.3913043478,446,35,374,30,23,107,49,59,8
50,4.7826086957,0,11.5,69,8,56,11,6,21,12,60,4
155,4.4098360656,0,13.2608695652,305,24,257,32,23,72,36,61,8
131,4.1254355401,0,20.5,287,23,239,22,14,71,27,62,8
123,4.3127147766,0,17.1176470588,291,18,245,28,17,64,31,63,8
100,3.972972973,1,37,222,9,176,6,6,55,18,64,7
186,4.2710280374,3,17.8333333333,428,24,367,41,24,85,46,65,9
194,4.5698924731,1,14.88,372,23,315,43,25,80,51,66,9
135,4.3605442177,0,14.7,294,19,229,33,20,84,31,67,8
214,4.368159204,0,11.8235294118,402,23,324,55,34,101,47,68,9
137,3.9631147541,2,13.5555555556,244,14,202,33,18,56,17,69,7
205,4.5411764706,0,15.1785714286,425,34,335,57,28,124,62,70,12
183,4.2584269663,1,21.1904761905,445,11,336,31,21,120,31,71,10
232,4.8625235405,5,21.24,531,48,449,70,25,130,95,72,10
168,4.1374045802,2,18.7142857143,393,26,319,43,21,100,38,73,8
144,4.2524590164,0,10.1666666667,305,17,246,58,30,76,24,74,7
184,4.7442528736,0,16.5714285714,348,43,296,42,21,95,46,75,8
142,4.4340836013,0,16.3684210526,311,24,240,50,19,95,38,76,8
228,4.4309701493,2,11.1666666667,536,37,426,65,48,147,74,77,10
166,4.3301886792,1,13.25,424,24,314,79,32,134,42,78,10
161,4.1518324607,0,21.2222222222,382,21,300,33,18,103,36,79,10
206,4.4926829268,0,19.5238095238,410,41,332,42,21,119,42,80,8
153,4.0594594595,1,21.7647058824,370,32,319,39,17,83,39,81,8
141,4.7007042254,3,12.347826087,284,16,223,33,23,77,43,82,8
116,4.119047619,1,23.3333333333,210,15,185,10,9,40,21,83,7
86,3.8177339901,0,18.4545454545,203,9,173,11,11,39,12,84,6
217,4.3100358423,2,18,558,46,495,46,31,109,59,85,10
205,4.8547619048,2,15,420,45,319,37,28,146,83,86,8
215,4.1724941725,9,11,429,34,364,70,39,99,40,87,10
187,3.9393258427,1,21.1904761905,445,25,391,29,21,79,38,88,9
99,4.3103448276,0,8,232,9,179,35,29,62,28,89,6
112,4.1681034483,0,25.7777777778,232,17,186,27,9,63,27,90,7
111,4.3519313305,1,15.5333333333,233,12,181,19,15,64,30,91,8
275,4.7001828154,1,23.7826086957,547,43,423,57,23,167,87,93,11
8,4.75,0,8,8,1,7,2,1,2,1,359,2
266,4.0015037594,7,13.0392156863,665,41,536,99,51,170,68,92,11
150,4.0560747664,0,12.84,321,19,268,36,25,72,30,94,8
215,4.0320512821,2,13,468,26,396,52,36,98,36,95,10
134,4.3826086957,0,15.3333333333,230,16,178,25,15,68,30,96,7
174,4.3879598662,0,14.2380952381,299,22,237,30,21,84,33,97,8
220,4.4951690821,2,12.1764705882,414,28,325,59,34,117,44,98,11
190,4.1028571429,0,17.5,350,20,268,44,20,102,24,99,8
121,3.8347457627,2,13.1111111111,236,26,196,21,18,66,15,100,7
232,4.3665254237,1,11.8,472,28,374,62,40,126,47,101,10
144,4.2710843373,2,12.7692307692,332,18,277,30,26,73,34,102,8
174,4.0343980344,6,22.6111111111,407,25,344,43,18,88,39,103,9
162,4.3333333333,1,19.7142857143,414,24,347,40,21,91,44,104,10
207,4.0311926606,1,16.0294117647,545,26,436,54,34,135,42,105,9
215,4.539295393,3,12.3,369,26,308,46,30,87,57,106,11
262,4.5508607199,1,12.2884615385,639,39,506,77,52,172,87,107,10
186,4.072,3,17.8571428571,375,24,308,45,21,91,31,108,8
133,4.0142450142,0,14.625,351,20,294,35,24,77,23,109,8
124,4.1033057851,2,18.6153846154,242,24,204,25,13,62,19,110,6
264,4.5143884892,3,15.4444444444,556,46,450,69,36,152,74,111,11
212,4.2445520581,0,13.3225806452,413,20,322,40,31,111,48,112,9
165,4.3963414634,0,11.7142857143,328,18,259,36,28,87,34,113,8
190,4.5182481752,1,16.44,411,23,332,43,25,102,59,114,8
202,3.6200378072,9,18.2413793103,529,28,449,40,29,108,17,115,9
45,4.9056603774,0,13.25,53,4,42,7,4,15,11,116,4
152,4.2239263804,1,13.04,326,28,286,43,25,68,27,117,8
207,4.5421412301,1,15.6785714286,439,30,318,64,28,151,58,118,12
255,3.9121756487,1,13.5405405405,501,33,434,77,37,100,26,119,10
157,3.9609375,2,16,384,27,335,26,24,76,32,120,8
161,3.8967391304,1,21.6470588235,368,26,300,32,17,94,15,121,8
217,4.3851851852,3,18.6206896552,540,37,426,48,29,151,67,122,9
195,4.3574879227,3,14.275862069,414,24,340,40,29,98,54,123,10
108,3.8905109489,0,30.4444444444,274,13,234,11,9,53,20,124,7
85,4.0397727273,0,176,176,11,155,0,1,32,19,125,5
149,4.2633451957,0,28.1,281,16,233,11,10,64,29,126,8
191,4.3995098039,0,16.32,408,27,341,29,25,94,53,127,9
212,4.4093137255,2,13.6,408,25,338,43,30,95,40,128,9
176,3.9270588235,3,16.3461538462,425,12,347,42,26,90,25,129,10
245,4.6700680272,1,15.0769230769,588,58,489,49,39,157,88,130,10
211,4.3568075117,0,17.04,426,31,331,55,25,126,42,131,10
213,4.7546296296,5,17.28,432,34,335,56,25,131,79,132,11
232,4.0172413793,1,11.6,522,52,458,69,45,116,32,133,10
177,4.306372549,2,17,408,30,347,36,24,91,48,134,10
139,4.3446969697,0,24,264,13,204,22,11,73,25,135,7
263,3.9552772809,1,13.6341463415,559,22,438,75,41,143,31,136,9
125,4.140562249,0,31.125,249,14,193,13,8,70,23,137,7
204,4.5528255528,0,16.28,407,28,323,37,25,112,46,138,10
97,4,0,15.3333333333,184,5,145,16,12,44,15,139,7
